display_first_last,birthdate,school,country,height,weight,season_exp,jersey,position,rosterstatus,team_name,draft_year,draft_round,draft_number,greatest_75_flag
Mahmoud Abdul-Rauf,1969-03-09 00:00:00,Louisiana State,USA,6-1,162.0,9.0,1,Guard,Inactive,Nuggets,1990,1,3,N
Tariq Abdul-Wahad,1974-11-03 00:00:00,San Jose State,France,6-6,235.0,7.0,9,Forward-Guard,Inactive,Kings,1997,1,11,N
Jordan Adams,1994-07-08 00:00:00,UCLA,USA,6-5,209.0,3.0,3,Guard,Inactive,Grizzlies,2014,1,22,N
Rafael Addison,1964-07-22 00:00:00,Syracuse,USA,6-8,241.0,6.0,7,Forward,Inactive,Nets,1986,2,39,N
Blake Ahearn,1984-05-27 00:00:00,Missouri State,USA,6-2,190.0,4.0,2,Guard,Inactive,Heat,Undrafted,Undrafted,Undrafted,N
Solomon Alabi,1988-03-21 00:00:00,Florida State,Nigeria,7-1,252.0,3.0,50,Center,Inactive,Raptors,2010,2,50,N
Mark Alarie,1963-12-11 00:00:00,Duke,USA,6-8,217.0,5.0,31,Forward,Inactive,Bullets,1986,1,18,N
Furkan Aldemir,1991-08-09 00:00:00,Galatasaray,Turkey,6-10,240.0,2.0,19,Forward-Center,Inactive,76ers,2012,2,53,N
LaMarcus Aldridge,1985-07-19 00:00:00,Texas-Austin,USA,6-11,250.0,17.0,21,Center-Forward,Inactive,Nets,2006,1,2,N
Cliff Alexander,1995-11-16 00:00:00,Kansas,USA,6-8,240.0,2.0,34,Forward,Inactive,Trail Blazers,Undrafted,Undrafted,Undrafted,N
Gary Alexander,1969-11-01 00:00:00,South Florida,USA,6-7,240.0,1.0,16,Forward,Inactive,Cavaliers,Undrafted,Undrafted,Undrafted,N
Kyle Alexander,1996-10-21 00:00:00,Tennessee,Canada,6-10,216.0,2.0,17,Forward-Center,Inactive,Heat,Undrafted,Undrafted,Undrafted,N
Nickeil Alexander-Walker,1998-09-02 00:00:00,Virginia Tech,Canada,6-5,205.0,3.0,9,Guard,Active,Timberwolves,2019,1,17,N
